,INCY,DLLR
2008-11-28,0.2702265372168285,0.29176289453425713
2008-12-01,0.2370550161812298,0.25327174749807546
2008-12-02,0.24352750809061488,0.27136258660508084
2008-12-03,0.25889967637540456,0.26943802925327176
2008-12-04,0.2532362459546926,0.2686682063125481
2008-12-05,0.2896440129449838,0.25943033102386454
2008-12-08,0.2928802588996764,0.28560431100846806
2008-12-09,0.25970873786407767,0.2648190916089299
2008-12-10,0.2669902912621359,0.2848344880677444
2008-12-11,0.2483818770226537,0.279445727482679
2008-12-12,0.24676375404530745,0.29291762894534257
2008-12-15,0.24433656957928804,0.3002309468822171
2008-12-16,0.2605177993527508,0.32717474980754424
2008-12-17,0.27184466019417475,0.36143187066974597
2008-12-18,0.29611650485436897,0.36374133949191684
2008-12-19,0.2977346278317152,0.38298691301000765
2008-12-22,0.28398058252427183,0.3652809853733641
2008-12-23,0.2807443365695793,0.36335642802155504
2008-12-24,0.2807443365695793,0.37336412625096227
2008-12-26,0.2815533980582524,0.3810623556581986
2008-12-29,0.26213592233009714,0.3698999230177059
2008-12-30,0.29692556634304207,0.3876058506543495
2008-12-31,0.30663430420711973,0.3964588144726713
