"","X1","ISLE","AKRX","long_distance","Fx","Fy","MI_X","MI_Y"
"92",2009-05-14,3.3448275862069,0.321969696969697,"AKRX",0.58008658008658,0.0909090909090909,0.822980050916737,0.0384967990094162
"93",2009-05-15,3.40804597701149,0.333333333333333,"AKRX",0.696969696969697,0.783549783549784,0.555188913877524,0.753958297774342
"94",2009-05-18,3.65804597701149,0.356060606060606,"AKRX",0.913419913419913,0.913419913419913,0.775638281788234,0.775638281788234
"95",2009-05-19,3.66666666666667,0.375,"AKRX",0.58008658008658,0.883116883116883,0.314766325188176,0.922459541874686
"96",2009-05-20,3.91091954022989,0.337121212121212,"AKRX",0.896103896103896,0.0649350649350649,0.963242225057193,0.0211455021771503
"97",2009-05-21,3.6235632183908,0.359848484848485,"AKRX",0.0822510822510823,0.913419913419913,0.0278829463152955,0.970385061192564
"98",2009-05-22,3.45114942528736,0.382575757575758,"AKRX",0.186147186147186,0.904761904761905,0.0660844565797338,0.968634225057717
"99",2009-05-26,3.66666666666667,0.420454545454545,"AKRX",0.891774891774892,0.952380952380952,0.619608164652822,0.904270431435913
"100",2009-05-27,3.67241379310345,0.378787878787879,"AKRX",0.58008658008658,0.0649350649350649,0.835674734667247,0.0243102985099523
"101",2009-05-28,3.64367816091954,0.390151515151515,"AKRX",0.489177489177489,0.757575757575758,0.31932715035895,0.822295644173558
"102",2009-05-29,3.77586206896552,0.409090909090909,"AKRX",0.796536796536797,0.861471861471861,0.620279425162122,0.803921148956069
"103",2009-06-01,3.85632183908046,0.393939393939394,"AKRX",0.718614718614719,0.207792207792208,0.870441361416391,0.0960955837238615
"104",2009-06-02,3.81896551724138,0.375,"AKRX",0.467532467532468,0.177489177489178,0.680715369999866,0.124920379939076
"105",2009-06-03,3.7816091954023,0.382575757575758,"AKRX",0.467532467532468,0.718614718614719,0.32028933741948,0.789032621785245
"106",2009-06-04,3.78735632183908,0.390151515151515,"AKRX",0.58008658008658,0.718614718614719,0.453411561957884,0.73534450510008
"107",2009-06-05,3.58620689655172,0.390151515151515,"AKRX",0.151515151515152,0.584415584415584,0.0779686624348465,0.797112866460189
"108",2009-06-08,3.42528735632184,0.378030303030303,"AKRX",0.199134199134199,0.25974025974026,0.250319043972025,0.398153468554188
"109",2009-06-09,3.60919540229885,0.37844696969697,"AKRX",0.874458874458874,0.584415584415584,0.913262146188674,0.327149375806101
"110",2009-06-10,3.78448275862069,0.367424242424242,"AKRX",0.848484848484849,0.277056277056277,0.9380983108723,0.114919057874607
"111",2009-06-11,3.50574712643678,0.375,"AKRX",0.0779220779220779,0.718614718614719,0.0259975673265522,0.896124300684567
"112",2009-06-12,3.4051724137931,0.378787878787879,"AKRX",0.333333333333333,0.662337662337662,0.211547890327126,0.786059558360078
"113",2009-06-15,3.16666666666667,0.375,"AKRX",0.0952380952380952,0.454545454545455,0.0532534925961499,0.734944762436922
"114",2009-06-16,3.29022988505747,0.363636363636364,"AKRX",0.800865800865801,0.272727272727273,0.910704213937243,0.122144521825466
"115",2009-06-17,3.4683908045977,0.367424242424242,"AKRX",0.874458874458874,0.670995670995671,0.889173696642393,0.42128989878201
"116",2009-06-18,3.48563218390805,0.378787878787879,"AKRX",0.593073593073593,0.766233766233766,0.432072368026157,0.78864528455778
"117",2009-06-19,3.58908045977011,0.375,"AKRX",0.783549783549784,0.454545454545455,0.859480823943693,0.269109453334179
"118",2009-06-22,3.42241379310345,0.356060606060606,"AKRX",0.186147186147186,0.173160173160173,0.307083515978488,0.271030344536834
"119",2009-06-23,3.48850574712644,0.356060606060606,"AKRX",0.696969696969697,0.584415584415584,0.7049626784176,0.475407846610437
"120",2009-06-24,3.44252873563218,0.359848484848485,"AKRX",0.445887445887446,0.670995670995671,0.324465089119349,0.745956285265188
"121",2009-06-25,3.63505747126437,0.416666666666667,"AKRX",0.878787878787879,0.978354978354978,0.470403357789813,0.969262536296561
"122",2009-06-26,3.82758620689655,0.416666666666667,"AKRX",0.87012987012987,0.584415584415584,0.909011397472488,0.33124527987038
"123",2009-06-29,3.87931034482759,0.446969696969697,"AKRX",0.645021645021645,0.922077922077922,0.331783240169618,0.947338398753861
"124",2009-06-30,3.82758620689655,0.458333333333333,"AKRX",0.445887445887446,0.748917748917749,0.280187073296044,0.828724724791647
"125",2009-07-01,3.95977011494253,0.446969696969697,"AKRX",0.792207792207792,0.307359307359307,0.899582858489512,0.146823522095422
