"","X1","DVA","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"110",2009-06-10,0.936252545824847,0.824309185959671,"ABT",0.432900432900433,0.41991341991342,0.431244826344161,0.407836303634394
"111",2009-06-11,0.944399185336049,0.831964152352502,"ABT",0.70995670995671,0.748917748917749,0.611853717927526,0.681919631321817
"112",2009-06-12,0.959877800407332,0.848020911127707,"ABT",0.835497835497836,0.857142857142857,0.724064621815246,0.770979180303043
"113",2009-06-15,0.933604887983707,0.835138162808066,"ABT",0.0779220779220779,0.164502164502165,0.107655818018197,0.47214507530952
"114",2009-06-16,0.941547861507128,0.835138162808066,"ABT",0.701298701298701,0.510822510822511,0.705922921129848,0.389658595227487
"115",2009-06-17,0.974745417515275,0.857356235997013,"ABT",0.926406926406926,0.935064935064935,0.815853231051063,0.843342685023289
"116",2009-06-18,0.996945010183299,0.889843166542196,"ABT",0.891774891774892,0.982683982683983,0.62650169003483,0.964644706408349
"117",2009-06-19,0.980244399185336,0.888349514563107,"ABT",0.173160173160173,0.484848484848485,0.104353483790539,0.685617516532613
"118",2009-06-22,0.970875763747454,0.872106049290515,"ABT",0.272727272727273,0.116883116883117,0.539606245726584,0.106117312159538
"119",2009-06-23,0.962525458248472,0.874906646751307,"ABT",0.281385281385281,0.601731601731602,0.179249082902191,0.710440736544601
"120",2009-06-24,0.976171079429735,0.877333831217326,"ABT",0.80952380952381,0.588744588744589,0.804112999766871,0.426131619800796
"121",2009-06-25,0.99775967413442,0.896564600448096,"ABT",0.887445887445887,0.878787878787879,0.792448722310859,0.771337880111478
"122",2009-06-26,1.00936863543788,0.885548917102315,"ABT",0.779220779220779,0.216450216450216,0.8883514228693,0.0883140254794655
"123",2009-06-29,1.00835030549898,0.892830470500373,"ABT",0.471861471861472,0.731601731601732,0.33222144719347,0.755432317756407
"124",2009-06-30,1.00733197556008,0.878267363704257,"ABT",0.471861471861472,0.138528138528139,0.713435687688961,0.0757826470329412
"125",2009-07-01,1.03584521384929,0.870799103808813,"ABT",0.909090909090909,0.32034632034632,0.952544038911398,0.125197802058061
