"","X1","PAG","HOT","long_distance","Fx","Fy","MI_X","MI_Y"
"94",2009-05-18,1.41549295774648,1.02788461538462,"HOT",0.974025974025974,0.956709956709957,0.868710659826674,0.607005471448101
"95",2009-05-19,1.41901408450704,1.02932692307692,"HOT",0.619047619047619,0.562770562770563,0.625722623000651,0.473647251317393
"96",2009-05-20,1.42957746478873,1.02403846153846,"HOT",0.640692640692641,0.480519480519481,0.732083762791717,0.329237824660065
"97",2009-05-21,1.3556338028169,1.02644230769231,"HOT",0.0952380952380952,0.571428571428571,0.0243250706188159,0.881218849817566
"98",2009-05-22,1.32159624413146,1.03894230769231,"HOT",0.277056277056277,0.666666666666667,0.109829539938841,0.86942961078054
"99",2009-05-26,1.38849765258216,1.13221153846154,"HOT",0.917748917748918,0.965367965367965,0.485077942350376,0.918646674633533
"100",2009-05-27,1.32981220657277,1.07596153846154,"HOT",0.134199134199134,0.134199134199134,0.301607527086779,0.301607527086779
"101",2009-05-28,1.36619718309859,1.12932692307692,"HOT",0.796536796536797,0.904761904761905,0.433273541071423,0.891085773884079
"102",2009-05-29,1.43661971830986,1.17644230769231,"HOT",0.917748917748918,0.87012987012987,0.838832467989115,0.56407415248867
"103",2009-06-01,1.7018779342723,1.25480769230769,"HOT",0.987012987012987,0.926406926406926,0.980716201592601,0.318798873317224
"104",2009-06-02,1.7593896713615,1.22019230769231,"HOT",0.848484848484849,0.268398268398268,0.962524896409306,0.0707511609780505
"105",2009-06-03,1.71361502347418,1.18221153846154,"HOT",0.272727272727273,0.246753246753247,0.411098299082979,0.326649586308195
"106",2009-06-04,1.71361502347418,1.20096153846154,"HOT",0.584415584415584,0.67965367965368,0.440019972525657,0.700464889516923
"107",2009-06-05,1.71948356807512,1.20865384615385,"HOT",0.623376623376623,0.614718614718615,0.577786219856281,0.553737824815121
"108",2009-06-08,1.72769953051643,1.23173076923077,"HOT",0.632034632034632,0.727272727272727,0.458126499817249,0.731452909539302
"109",2009-06-09,1.93427230046948,1.23942307692308,"HOT",0.974025974025974,0.614718614718615,0.994877439130021,0.140676088458402
"110",2009-06-10,1.91666666666667,1.21538461538462,"HOT",0.467532467532468,0.329004329004329,0.628059071027967,0.267295434246572
"111",2009-06-11,1.88262910798122,1.19711538461538,"HOT",0.367965367965368,0.380952380952381,0.41257552186989,0.448825269636318
"112",2009-06-12,1.90023474178404,1.17403846153846,"HOT",0.666666666666667,0.329004329004329,0.849553258571621,0.148716037069591
"113",2009-06-15,1.80985915492958,1.12163461538462,"HOT",0.108225108225108,0.142857142857143,0.212355228125782,0.390809507029951
"114",2009-06-16,1.80633802816901,1.08701923076923,"HOT",0.536796536796537,0.246753246753247,0.780686181989206,0.128914286562214
"115",2009-06-17,1.81220657276995,1.10240384615385,"HOT",0.623376623376623,0.670995670995671,0.513072009920612,0.647755938050173
"116",2009-06-18,1.8075117370892,1.0875,"HOT",0.532467532467532,0.402597402597403,0.64877162378263,0.317320880463028
"117",2009-06-19,1.89671361502347,1.08894230769231,"HOT",0.917748917748918,0.562770562770563,0.972841229375616,0.172989482591155
"118",2009-06-22,1.83568075117371,1.02115384615385,"HOT",0.220779220779221,0.0865800865800866,0.619030502302921,0.082419649682784
"119",2009-06-23,1.75586854460094,1.02067307692308,"HOT",0.125541125541126,0.528138528138528,0.0417583715116332,0.847518349066804
"120",2009-06-24,1.82159624413146,1.05865384615385,"HOT",0.87012987012987,0.861471861471861,0.719604396607596,0.676675723330663
"121",2009-06-25,1.92723004694836,1.09663461538462,"HOT",0.922077922077922,0.857142857142857,0.869349994194204,0.513067421484481
"122",2009-06-26,1.97887323943662,1.08605769230769,"HOT",0.792207792207792,0.441558441558442,0.91051595375405,0.177282780878117
"123",2009-06-29,2.01173708920188,1.08846153846154,"HOT",0.70995670995671,0.571428571428571,0.757209063307777,0.386351614744897
"124",2009-06-30,1.95305164319249,1.06730769230769,"HOT",0.242424242424242,0.329004329004329,0.255922491141957,0.51800622050782
"125",2009-07-01,2.00234741784038,1.02451923076923,"HOT",0.779220779220779,0.164502164502165,0.944429597158173,0.039778519074946
