"","X1","LNDC","NWBI","long_distance","Fx","Fy","MI_X","MI_Y"
"80",2009-04-28,0.972818311874106,0.804287045666356,"NWBI",0.878787878787879,0.354978354978355,0.949154909700565,0.126188423864198
"81",2009-04-29,0.927038626609442,0.844361602982293,"NWBI",0.0822510822510823,0.943722943722944,0.0120313686601603,0.991725923490209
"82",2009-04-30,0.967095851216023,0.819198508853681,"NWBI",0.9004329004329,0.116883116883117,0.980790932000925,0.0223648829795811
"83",2009-05-01,0.995708154506438,0.80475302889096,"NWBI",0.852813852813853,0.25974025974026,0.948430935436213,0.0844217427469661
"84",2009-05-04,1.00143061516452,0.842497670083877,"NWBI",0.575757575757576,0.935064935064935,0.232699138042638,0.959565981593643
"85",2009-05-05,0.947067238912732,0.810810810810811,"NWBI",0.0562770562770563,0.0735930735930736,0.169664681560936,0.251234999303682
"86",2009-05-06,0.917024320457797,0.817800559179869,"NWBI",0.199134199134199,0.705627705627706,0.0881047273381485,0.878220311014319
"87",2009-05-07,0.874105865522175,0.817334575955265,"NWBI",0.0822510822510823,0.54978354978355,0.0385317816381776,0.840130416029369
"88",2009-05-08,0.941344778254649,0.869524697110904,"NWBI",0.96969696969697,0.974025974025974,0.817448801662369,0.853441794173726
"89",2009-05-11,0.911301859799714,0.852283317800559,"NWBI",0.199134199134199,0.216450216450216,0.301199082446289,0.343773976563775
"90",2009-05-12,0.905579399141631,0.859273066169618,"NWBI",0.415584415584416,0.705627705627706,0.269322402449058,0.790478268533128
"91",2009-05-13,0.894134477825465,0.839701770736253,"NWBI",0.372294372294372,0.177489177489178,0.584936295361505,0.174042782929373
"92",2009-05-14,0.925608011444921,0.865796831314073,"NWBI",0.878787878787879,0.878787878787879,0.74087631979205,0.74087631979205
"93",2009-05-15,0.889842632331903,0.854147250698975,"NWBI",0.121212121212121,0.307359307359307,0.130210859873678,0.565857411535233
"94",2009-05-18,0.898426323319027,0.887698042870457,"NWBI",0.632034632034632,0.922077922077922,0.302848203229557,0.93864995937707
"95",2009-05-19,0.892703862660944,0.854147250698975,"NWBI",0.415584415584416,0.0735930735930736,0.748363624572108,0.0490076254875307
"96",2009-05-20,0.872675250357654,0.8452935694315,"NWBI",0.25974025974026,0.350649350649351,0.291909152747442,0.482329585688066
"97",2009-05-21,0.889842632331903,0.842963653308481,"NWBI",0.761904761904762,0.471861471861472,0.823593174727559,0.290830343289809
"98",2009-05-22,0.886981402002861,0.838769804287046,"NWBI",0.432900432900433,0.428571428571429,0.463896723739536,0.455500716216045
"99",2009-05-26,0.952789699570815,0.870922646784716,"NWBI",0.965367965367965,0.917748917748918,0.903187372431125,0.659745433247599
"100",2009-05-27,0.898426323319027,0.824790307548928,"NWBI",0.0476190476190476,0.0303030303030303,0.241128313172959,0.125971124103853
"101",2009-05-28,0.919885550786838,0.835041938490214,"NWBI",0.800865800865801,0.748917748917749,0.726101529614038,0.60312347414789
"102",2009-05-29,0.969957081545064,0.859739049394222,"NWBI",0.930735930735931,0.874458874458874,0.855121760854208,0.648595870059654
"103",2009-06-01,0.967095851216023,0.907269338303821,"NWBI",0.437229437229437,0.956709956709957,0.118944036041332,0.984370208238286
"104",2009-06-02,0.954220314735336,0.931500465983224,"NWBI",0.346320346320346,0.865800865800866,0.127345914922717,0.942655470190249
