"","X1","WBS","STI","long_distance","Fx","Fy","MI_X","MI_Y"
"84",2009-05-04,0.432900432900433,0.577205882352941,"WBS",0.995670995670996,0.995670995670996,0.938450637126172,0.938450637126172
"85",2009-05-05,0.462481962481962,0.566510695187166,"WBS",0.948051948051948,0.367965367965368,0.998296983389474,0.00736512533772787
"86",2009-05-06,0.490620490620491,0.651403743315508,"WBS",0.917748917748918,0.978354978354978,0.394846812179179,0.908678410787445
"87",2009-05-07,0.477633477633478,0.618983957219251,"WBS",0.25974025974026,0.16017316017316,0.584065833686869,0.274624924350986
"88",2009-05-08,0.556277056277056,0.69418449197861,"WBS",0.995670995670996,0.974025974025974,0.957654233386409,0.688234873680784
"89",2009-05-11,0.572871572871573,0.618649732620321,"WBS",0.792207792207792,0.0216450216450216,0.995974592936266,0.0010108235235699
"90",2009-05-12,0.522366522366522,0.54177807486631,"WBS",0.038961038961039,0.0173160173160173,0.156439756448644,0.0665894985342074
"91",2009-05-13,0.487734487734488,0.504679144385027,"WBS",0.0735930735930736,0.0952380952380952,0.220567056016465,0.299315385414509
"92",2009-05-14,0.518759018759019,0.502339572192513,NA,0.926406926406926,0.484848484848485,0.993780166439497,0.0206096775948322
"93",2009-05-15,0.476911976911977,0.503008021390374,NA,0.0476190476190476,0.54978354978355,0.0157371710658073,0.954080790378732
"94",2009-05-18,0.53968253968254,0.53475935828877,NA,0.987012987012987,0.9004329004329,0.958121041746134,0.294553017475978
"95",2009-05-19,0.498556998556999,0.510695187165775,NA,0.0606060606060606,0.177489177489178,0.135946598981817,0.522750303198437
"96",2009-05-20,0.481240981240981,0.505347593582888,NA,0.168831168831169,0.454545454545455,0.123427252336634,0.851702136705685
"97",2009-05-21,0.484126984126984,0.487299465240642,NA,0.588744588744589,0.229437229437229,0.925556196287872,0.086864321505742
"98",2009-05-22,0.476911976911977,0.45822192513369,NA,0.38961038961039,0.116883116883117,0.817986470533014,0.109288541096983
"99",2009-05-26,0.518759018759019,0.467914438502674,NA,0.974025974025974,0.74025974025974,0.986583710209547,0.0710281475508736
"100",2009-05-27,0.494949494949495,0.441510695187166,NA,0.112554112554113,0.12987012987013,0.29562510466244,0.355175437297426
"101",2009-05-28,0.526695526695527,0.439839572192513,"STI",0.926406926406926,0.493506493506494,0.993383097009003,0.0218025343007562
"102",2009-05-29,0.538239538239538,0.440173796791444,"STI",0.748917748917749,0.545454545454545,0.886718406258774,0.183527685438147
"103",2009-06-01,0.586580086580087,0.461229946524064,"STI",0.974025974025974,0.848484848484849,0.954550972518752,0.196937283676127
"104",2009-06-02,0.537518037518038,0.532754010695187,"STI",0.0432900432900433,0.978354978354978,0.000230968655064419,0.999892959934884
"105",2009-06-03,0.528138528138528,0.524732620320856,"STI",0.372294372294372,0.411255411255411,0.45662254881215,0.583983543333841
"106",2009-06-04,0.577200577200577,0.551804812834225,"STI",0.974025974025974,0.861471861471861,0.946611721425019,0.225140893659791
"107",2009-06-05,0.560606060606061,0.567179144385027,NA,0.238095238095238,0.779220779220779,0.0209048375921803,0.987423036484612
"108",2009-06-08,0.562049062049062,0.579879679144385,NA,0.558441558441558,0.757575757575758,0.185532787229837,0.886199785302975
"109",2009-06-09,0.566378066378066,0.570187165775401,NA,0.619047619047619,0.393939393939394,0.863295732072725,0.191021232109073
"110",2009-06-10,0.570707070707071,0.552139037433155,NA,0.619047619047619,0.255411255411255,0.933879918410998,0.08435095315207
"111",2009-06-11,0.582251082251082,0.560828877005348,NA,0.748917748917749,0.701298701298701,0.675019537693533,0.448238244525879
"112",2009-06-12,0.588023088023088,0.557820855614973,NA,0.649350649350649,0.476190476190476,0.827966585096967,0.246342336214186
"113",2009-06-15,0.594516594516595,0.545454545454545,NA,0.666666666666667,0.341991341991342,0.93064656415835,0.103099060207646
"114",2009-06-16,0.598124098124098,0.529745989304813,NA,0.588744588744589,0.277056277056277,0.906083663942183,0.118087550830338
"115",2009-06-17,0.560606060606061,0.511697860962567,NA,0.0779220779220779,0.246753246753247,0.133374932324639,0.645726958795827
