"","X1","SIRI","KEM","long_distance","Fx","Fy","MI_X","MI_Y"
"104",2009-06-02,2.77868852459016,1.23913043478261,"KEM",0.311688311688312,0.831168831168831,0.17315090838199,0.9137066220269
"105",2009-06-03,2.67213114754098,1.28260869565217,"KEM",0.255411255411255,0.826839826839827,0.136054721980321,0.91359854638783
"106",2009-06-04,2.86885245901639,1.19565217391304,"KEM",0.935064935064935,0.147186147186147,0.970893128964319,0.0849751723493687
"107",2009-06-05,2.78688524590164,1.06521739130435,"KEM",0.341991341991342,0.0735930735930736,0.610449914939241,0.0460645204565858
"108",2009-06-08,2.84426229508197,0.989130434782609,"KEM",0.753246753246753,0.134199134199134,0.870624656390613,0.0622455275023851
"109",2009-06-09,2.85655737704918,1,"KEM",0.649350649350649,0.696969696969697,0.584103201597496,0.678579984908159
"110",2009-06-10,2.75901639344262,1,"KEM",0.29004329004329,0.601731601731602,0.202651139554819,0.722591523041484
"111",2009-06-11,2.7983606557377,1,"KEM",0.70995670995671,0.601731601731602,0.721192573753781,0.512390953280945
"112",2009-06-12,2.86065573770492,0.989130434782609,"KEM",0.770562770562771,0.454545454545455,0.843340966590889,0.309014939204803
"113",2009-06-15,2.70491803278689,0.978260869565217,"KEM",0.19047619047619,0.454545454545455,0.139413688698573,0.619517107783563
"114",2009-06-16,2.63934426229508,0.978260869565217,"KEM",0.372294372294372,0.601731601731602,0.29078478693762,0.690340889652828
"115",2009-06-17,3.24590163934426,0.978260869565217,"KEM",0.995670995670996,0.601731601731602,0.999280641074299,0.246899597317041
"116",2009-06-18,2.79098360655738,1.08695652173913,"KEM",0.038961038961039,0.939393939393939,0.0263219634289486,0.951614954398893
"117",2009-06-19,2.81065573770492,1.10869565217391,"KEM",0.662337662337662,0.753246753246753,0.561796734865119,0.747265062810384
"118",2009-06-22,2.86885245901639,1.01086956521739,"KEM",0.753246753246753,0.103896103896104,0.870093446437443,0.0450672749445071
"119",2009-06-23,3.03360655737705,1.06521739130435,"KEM",0.913419913419913,0.883116883116883,0.838759457048856,0.72663591951793
"120",2009-06-24,3.23770491803279,1.01195652173913,"KEM",0.930735930735931,0.212121212121212,0.972025338587145,0.115998420214267
"121",2009-06-25,3.72950819672131,1.06521739130435,"KEM",0.978354978354978,0.883116883116883,0.973295253219348,0.510613673936733
"122",2009-06-26,2.95081967213115,1.13695652173913,"KEM",0,0.909090909090909,1e-10,0.781157871260289
"123",2009-06-29,3.44262295081967,1.1304347826087,"KEM",0.982683982683983,0.523809523809524,0.995538902724203,0.244236541287048
"124",2009-06-30,3.52459016393443,1.04347826086957,"KEM",0.774891774891775,0.121212121212121,0.882808033335121,0.0549490609700322
"125",2009-07-01,3.77049180327869,1.19347826086957,"KEM",0.935064935064935,0.956709956709957,0.745597406389849,0.875673881213599
