"","X1","CCK","PX","long_distance","Fx","Fy","MI_X","MI_Y"
"70",2009-04-14,1.13068181818182,1.09658817876021,"PX",0.454545454545455,0.268398268398268,0.683184510088685,0.190696227149806
"71",2009-04-15,1.16064049586777,1.1108441454429,"PX",0.852813852813853,0.731601731601732,0.826139970867645,0.42667369825291
"72",2009-04-16,1.2474173553719,1.1108441454429,"PX",0.978354978354978,0.536796536796537,0.996438548729619,0.0505642918167122
"73",2009-04-17,1.23605371900826,1.10171391958994,"PX",0.376623376623377,0.363636363636364,0.446137733865514,0.409522962698631
"74",2009-04-20,1.20867768595041,1.04565112926478,"PX",0.199134199134199,0.051948051948052,0.769360066223067,0.0423908433944625
"75",2009-04-21,1.23088842975207,1.07576485663944,"PX",0.761904761904762,0.865800865800866,0.456456675277244,0.824494582267834
"76",2009-04-22,1.20867768595041,1.10107320198622,"PX",0.233766233766234,0.848484848484849,0.0259061745558205,0.978539865027856
"77",2009-04-23,1.20661157024793,1.12173634470607,"PX",0.458874458874459,0.80952380952381,0.152500426668185,0.9106896884146
"78",2009-04-24,1.20661157024793,1.16242191254205,"PX",0.493506493506494,0.9004329004329,0.108740388208033,0.965483680089207
"79",2009-04-27,1.17355371900826,1.15361204549095,"PX",0.168831168831169,0.380952380952381,0.111447061167802,0.728163955746271
"80",2009-04-28,1.15650826446281,1.14480217843985,"PX",0.281385281385281,0.376623376623377,0.276285106244352,0.553240863834052
"81",2009-04-29,1.17871900826446,1.14768540765658,"PX",0.779220779220779,0.588744588744589,0.816033116791399,0.318032918031417
"82",2009-04-30,1.13894628099174,1.19509851033157,NA,0.121212121212121,0.922077922077922,0.00357122129400771,0.997010689370707
"83",2009-05-01,1.16632231404959,1.17635752042287,NA,0.835497835497836,0.272727272727273,0.969310966580619,0.0395323529995409
"84",2009-05-04,1.19318181818182,1.23898766618613,NA,0.818181818181818,0.939393939393939,0.373284418030133,0.923125268908932
"85",2009-05-05,1.21590909090909,1.19205510171392,NA,0.779220779220779,0.112554112554113,0.983025841340074,0.00766339606645096
"86",2009-05-06,1.20971074380165,1.20615088899568,NA,0.432900432900433,0.70995670995671,0.200321739155692,0.831349366117456
"87",2009-05-07,1.18801652892562,1.16995034438571,NA,0.238095238095238,0.151515151515152,0.537733820904968,0.196140033543353
"88",2009-05-08,1.18595041322314,1.17187249719686,NA,0.458874458874459,0.571428571428571,0.351443284044673,0.637171210354948
"89",2009-05-11,1.16993801652893,1.14960756046772,NA,0.298701298701299,0.233766233766234,0.493985788415686,0.280632039117844
"90",2009-05-12,1.20712809917355,1.16194137433926,NA,0.9004329004329,0.696969696969697,0.918125318351016,0.286479134549379
"91",2009-05-13,1.17148760330579,1.11869293608842,NA,0.147186147186147,0.116883116883117,0.412960549681053,0.250079652209584
"92",2009-05-14,1.22365702479339,1.13775428479897,"PX",0.930735930735931,0.783549783549784,0.925406723953284,0.340245404302865
"93",2009-05-15,1.23915289256198,1.12926477654974,"PX",0.705627705627706,0.385281385281385,0.854732542735757,0.157198895823499
"94",2009-05-18,1.22675619834711,1.1616210155374,"PX",0.363636363636364,0.861471861471861,0.0662265741451482,0.965015580116168
"95",2009-05-19,1.2422520661157,1.16578567996156,"PX",0.701298701298701,0.606060606060606,0.689365184879876,0.433309862112083
"96",2009-05-20,1.20092975206612,1.1604997597309,"PX",0.125541125541126,0.45021645021645,0.0450279072249159,0.855984804339995
"97",2009-05-21,1.19576446280992,1.1279833413423,"PX",0.441558441558442,0.177489177489178,0.78266146078485,0.0924554998143079
"98",2009-05-22,1.21797520661157,1.13887554060548,"PX",0.779220779220779,0.67965367965368,0.746130103610575,0.453416907852242
"99",2009-05-26,1.27944214876033,1.16450424475412,"PX",0.948051948051948,0.83982683982684,0.927852114827872,0.383113221842102
"100",2009-05-27,1.24070247933884,1.12461957392279,"PX",0.147186147186147,0.12987012987013,0.376713861446054,0.286688500580488
"101",2009-05-28,1.25051652892562,1.14320038443056,"PX",0.623376623376623,0.779220779220779,0.366050958947025,0.792097116740439
"102",2009-05-29,1.21384297520661,1.17251321480058,"PX",0.151515151515152,0.857142857142857,0.00943023523535613,0.988959295339692
"103",2009-06-01,1.2370867768595,1.22248918789044,"PX",0.779220779220779,0.922077922077922,0.357453942157311,0.913217130887722
"104",2009-06-02,1.25206611570248,1.22969726093224,"PX",0.696969696969697,0.636363636363636,0.653143149801421,0.486328274874685
"105",2009-06-03,1.23760330578512,1.19477815152971,"PX",0.350649350649351,0.177489177489178,0.674192572343463,0.141030439232427
"106",2009-06-04,1.2629132231405,1.21752362646164,"PX",0.787878787878788,0.80952380952381,0.607970480164197,0.683846857167565
"107",2009-06-05,1.24070247933884,1.2151209354477,"PX",0.242424242424242,0.502164502164502,0.130759499633647,0.768995500756874
"108",2009-06-08,1.24535123966942,1.20807304180682,"PX",0.54978354978355,0.428571428571429,0.636687120046615,0.328879614330056
"109",2009-06-09,1.25,1.21880506166907,"PX",0.545454545454545,0.675324675324675,0.371501505219234,0.705245013100427
"110",2009-06-10,1.24018595041322,1.19349671632228,"PX",0.393939393939394,0.212121212121212,0.678637909676759,0.159055042881803
"111",2009-06-11,1.22262396694215,1.21592183245235,"PX",0.285714285714286,0.80952380952381,0.0504863089083213,0.95745810362057
"112",2009-06-12,1.20092975206612,1.19718084254365,"PX",0.238095238095238,0.277056277056277,0.315659429276174,0.447159674139342
"113",2009-06-15,1.1720041322314,1.1616210155374,"PX",0.181818181818182,0.16017316017316,0.393296128909721,0.297163433308579
"114",2009-06-16,1.16012396694215,1.14159859042127,"PX",0.359307359307359,0.25974025974026,0.556545068888908,0.259041943559939
"115",2009-06-17,1.16942148760331,1.14480217843985,"PX",0.623376623376623,0.588744588744589,0.584670637637172,0.493074403007353
"116",2009-06-18,1.16167355371901,1.16290245074483,NA,0.406926406926407,0.761904761904762,0.141826614925772,0.892228479526722
"117",2009-06-19,1.16632231404959,1.1555341983021,NA,0.54978354978355,0.41991341991342,0.645461823002349,0.316656039584033
"118",2009-06-22,1.15650826446281,1.10651930161781,NA,0.385281385281385,0.0995670995670996,0.84429056631048,0.0398377770985293
"119",2009-06-23,1.16270661157025,1.11741150088099,NA,0.588744588744589,0.688311688311688,0.421480604672247,0.685506561564404
"120",2009-06-24,1.16580578512397,1.11596988627263,NA,0.532467532467532,0.519480519480519,0.516058957846892,0.482311938111444
"121",2009-06-25,1.20867768595041,1.13727374659619,NA,0.917748917748918,0.80952380952381,0.886421151035853,0.425268098488933
"122",2009-06-26,1.22055785123967,1.15617491590581,NA,0.649350649350649,0.779220779220779,0.404930790868661,0.772082286386065
"123",2009-06-29,1.2345041322314,1.15841742751882,NA,0.688311688311688,0.575757575757576,0.697357341048498,0.401915592325698
"124",2009-06-30,1.24690082644628,1.13839500240269,"PX",0.658008658008658,0.25974025974026,0.887053063329945,0.0807516512564775
"125",2009-07-01,1.27376033057851,1.1356719525869,"PX",0.796536796536797,0.489177489177489,0.887889726533002,0.18877124249663
